name,assigned_gender,count
Susanna,1,21
Chloe,1,20
Donnie,1,20
Elsa,1,20
Gladys,1,20
Matie,1,20
Pearle,1,20
Vesta,1,20
Vinnie,1,20
Antoinette,1,19
Clementine,1,19
Edythe,1,19
Harriette,1,19
Libbie,1,19
Lilian,1,19
Lue,1,19
Lutie,1,19
Magdalena,1,19
Meda,1,19
Rita,1,19
Tena,1,19
Zelma,1,19
Adelia,1,18
Annetta,1,18
Antonia,1,18
Dona,1,18
Elizebeth,1,18
Georgianna,1,18
Gracie,1,18
Iona,1,18
Lessie,1,18
Leta,1,18
Liza,1,18
Mertie,1,18
Molly,1,18
Neva,1,18
Oma,1,18
Alida,1,17
Alva,1,17
Cecile,1,17
Cleo,1,17
Donna,1,17
Ellie,1,17
Ernestine,1,17
Evie,1,17
Frankie,1,17
Helene,1,17
Minna,1,17
Myrta,1,17
Prudence,1,17
Queen,1,17
Rilla,1,17
Savannah,1,17
Tessie,1,17
Tina,1,17
Agatha,1,16
America,1,16
Anita,1,16
Arminta,1,16
Dorothea,1,16
Ira,1,16
Luvenia,1,16
Marjorie,1,16
Maybelle,1,16
Mellie,1,16
Nan,1,16
Pearlie,1,16
Sidney,1,16
Velma,1,16
Clare,1,15
Constance,1,15
Dixie,1,15
Ila,1,15
Iola,1,15
Jimmie,1,15
Louvenia,1,15
Lucia,1,15
Ludie,1,15
Luna,1,15
Metta,1,15
Patsy,1,15
Phebe,1,15
Sophronia,1,15
Adda,1,14
Avis,1,14
Betsy,1,14
Bonnie,1,14
Cecil,1,14
Cordie,1,14
Emmaline,1,14
Ethelyn,1,14
Hortense,1,14
June,1,14
Louie,1,14
Lovie,1,14
Marcella,1,14
Melinda,1,14
Mona,1,14
Odessa,1,14
Veronica,1,14
Aimee,1,13
Annabel,1,13
Ava,1,13
Bella,1,13
Carolina,1,13
Cathrine,1,13
Christena,1,13
Clyde,1,13
Dena,1,13
Dolores,1,13
Eleanore,1,13
Elmira,1,13
Fay,1,13
Frank,1,13
Jenny,1,13
Kizzie,1,13
Lonnie,1,13
Loula,1,13
Magdalene,1,13
Mettie,1,13
Mintie,1,13
Peggy,1,13
Reba,1,13
Serena,1,13
Vida,1,13
Zada,1,13
Abigail,1,12
Celestine,1,12
Celina,1,12
Claudie,1,12
Clemmie,1,12
Connie,1,12
Daisie,1,12
Deborah,1,12
Dessa,1,12
Easter,1,12
Eddie,1,12
Emelia,1,12
Emmie,1,12
Imogene,1,12
India,1,12
Jeanne,1,12
Joan,1,12
Lenore,1,12
Liddie,1,12
Lotta,1,12
Mame,1,12
Nevada,1,12
Rachael,1,12
Robert,1,12
Sina,1,12
Willa,1,12
Aline,1,11
Beryl,1,11
Charles,1,11
Daisey,1,11
Dorcas,1,11
Edmonia,1,11
Effa,1,11
Eldora,1,11
Eloise,1,11
Emmer,1,11
Era,1,11
Gena,1,11
Henry,1,11
Iris,1,11
Izora,1,11
Lennie,1,11
Lissie,1,11
Mallie,1,11
Malvina,1,11
Mathilde,1,11
Mazie,1,11
Queenie,1,11
Rosina,1,11
Salome,1,11
Theodora,1,11
Therese,1,11
Vena,1,11
Wanda,1,11
Wilda,1,11
Altha,1,10
Anastasia,1,10
Besse,1,10
Bird,1,10
Birtie,1,10
Clarissa,1,10
Claude,1,10
Delilah,1,10
Diana,1,10
Emelie,1,10
Erna,1,10
Fern,1,10
Florida,1,10
Frona,1,10
Hilma,1,10
Joseph,1,10
Juliet,1,10
Leonie,1,10
Lugenia,1,10
Mammie,1,10
Manda,1,10
Manerva,1,10
Manie,1,10
Nella,1,10
Paulina,1,10
Philomena,1,10
Rae,1,10
Selina,1,10
Sena,1,10
Theodosia,1,10
Tommie,1,10
Una,1,10
Vernie,1,10
Adela,1,9
Althea,1,9
Amalia,1,9
Amber,1,9
Angelina,1,9
Annabelle,1,9
Anner,1,9
Arie,1,9
Clarice,1,9
Corda,1,9
Corrie,1,9
Dell,1,9
Dellar,1,9
Donie,1,9
Doris,1,9
Elda,1,9
