name,assigned_gender,count
Leland,0,9
Llewellyn,0,9
Ludwig,0,9
Manford,0,9
Maxwell,0,9
Minnie,0,9
Obie,0,9
Octave,0,9
Orrin,0,9
Ossie,0,9
Oswald,0,9
Park,0,9
Parley,0,9
Ramon,0,9
Rice,0,9
Stonewall,0,9
Theo,0,9
Tillman,0,9
Addie,0,8
Aron,0,8
Ashley,0,8
Bernhard,0,8
Bertie,0,8
Berton,0,8
Buster,0,8
Butler,0,8
Carleton,0,8
Carrie,0,8
Clara,0,8
Clarance,0,8
Clare,0,8
Crawford,0,8
Danial,0,8
Dayton,0,8
Dolphus,0,8
Elder,0,8
Ephriam,0,8
Fayette,0,8
Felipe,0,8
Fernando,0,8
Flem,0,8
Florence,0,8
Ford,0,8
Harlan,0,8
Hayes,0,8
Henery,0,8
Hoy,0,8
Huston,0,8
Ida,0,8
Ivory,0,8
Jonah,0,8
Justin,0,8
Lenard,0,8
Leopold,0,8
Lionel,0,8
Manley,0,8
Marquis,0,8
Marshal,0,8
Mart,0,8
Odie,0,8
Olen,0,8
Oral,0,8
Orley,0,8
Otha,0,8
Press,0,8
Price,0,8
Quincy,0,8
Randall,0,8
Rich,0,8
Richmond,0,8
Romeo,0,8
Russel,0,8
Rutherford,0,8
Shade,0,8
Shelby,0,8
Solon,0,8
Thurman,0,8
Tilden,0,8
Troy,0,8
Woodson,0,8
Worth,0,8
Aden,0,7
Alcide,0,7
Alf,0,7
Algie,0,7
Arlie,0,7
Bart,0,7
Bedford,0,7
Benito,0,7
Billy,0,7
Bird,0,7
Birt,0,7
Bruno,0,7
Burley,0,7
Chancy,0,7
Claus,0,7
Cliff,0,7
Clovis,0,7
Connie,0,7
Creed,0,7
Delos,0,7
Duke,0,7
Eber,0,7
Eligah,0,7
Elliot,0,7
Elton,0,7
Emmitt,0,7
Gene,0,7
Golden,0,7
Hal,0,7
Hardin,0,7
Harman,0,7
Hervey,0,7
Hollis,0,7
Ivey,0,7
Jennie,0,7
Len,0,7
Lindsay,0,7
Lonie,0,7
Lyle,0,7
Mac,0,7
Mal,0,7
Math,0,7
Miller,0,7
Orson,0,7
Osborne,0,7
Percival,0,7
Pleas,0,7
Ples,0,7
Rafael,0,7
Raoul,0,7
Roderick,0,7
Rose,0,7
Shelton,0,7
Sid,0,7
Theron,0,7
Tobias,0,7
Toney,0,7
Tyler,0,7
Vance,0,7
Vivian,0,7
Walton,0,7
Watt,0,7
Weaver,0,7
Wilton,0,7
Adolf,0,6
Albin,0,6
Albion,0,6
Allison,0,6
Alpha,0,6
Alpheus,0,6
Anastacio,0,6
Andre,0,6
Annie,0,6
Arlington,0,6
Armand,0,6
Asberry,0,6
Asbury,0,6
Asher,0,6
Augustin,0,6
Auther,0,6
Author,0,6
Ballard,0,6
Blas,0,6
Caesar,0,6
Candido,0,6
Cato,0,6
Clarke,0,6
Clemente,0,6
Colin,0,6
Commodore,0,6
Cora,0,6
Coy,0,6
Cruz,0,6
Curt,0,6
Damon,0,6
Davie,0,6
Delmar,0,6
Dexter,0,6
Dora,0,6
Doss,0,6
Drew,0,6
Edson,0,6
Elam,0,6
Elihu,0,6
Eliza,0,6
Elsie,0,6
Erie,0,6
Ernie,0,6
Ethel,0,6
Ferd,0,6
Friend,0,6
Garry,0,6
Gary,0,6
Grace,0,6
Gustaf,0,6
Hallie,0,6
Hampton,0,6
Harrie,0,6
Hattie,0,6
Hence,0,6
Hillard,0,6
Hollie,0,6
Holmes,0,6
Hope,0,6
Hyman,0,6
Ishmael,0,6
Jarrett,0,6
Jessee,0,6
Joeseph,0,6
Junious,0,6
Kirk,0,6
Levy,0,6
Mervin,0,6
Michel,0,6
Milford,0,6
Mitchel,0,6
Nellie,0,6
Noble,0,6
Obed,0,6
Oda,0,6
Orren,0,6
Ottis,0,6
Rafe,0,6
Redden,0,6
Reese,0,6
Rube,0,6
Ruby,0,6
Rupert,0,6
Salomon,0,6
Sammie,0,6
Sanders,0,6
Soloman,0,6
Stacy,0,6
Stanford,0,6
Stanton,0,6
Thad,0,6
Titus,0,6
Tracy,0,6
Vernie,0,6
Wendell,0,6
Wilhelm,0,6
Willian,0,6
Yee,0,6
Zeke,0,6
Ab,0,5
Abbott,0,5
Agustus,0,5
Albertus,0,5
Almer,0,5
Alphonso,0,5
Alvia,0,5
Artie,0,5
Arvid,0,5
Ashby,0,5
Augusta,0,5
Aurthur,0,5
Babe,0,5
Baldwin,0,5
Barnett,0,5
Bartholomew,0,5
Barton,0,5
Bernie,0,5
Blaine,0,5
Boston,0,5
Brad,0,5
Bradford,0,5
Bradley,0,5
Brooks,0,5
Buck,0,5
Budd,0,5
Ceylon,0,5
Chalmers,0,5
Chesley,0,5
Chin,0,5
Cleo,0,5
Crockett,0,5
Cyril,0,5
Daisy,0,5
Denver,0,5
Dow,0,5
Duff,0,5
Edie,0,5
Edith,0,5
Elick,0,5
Elie,0,5
Eliga,0,5
Eliseo,0,5
Elroy,0,5
Ely,0,5
Ennis,0,5
Enrique,0,5
Erasmus,0,5
Esau,0,5
Everette,0,5
Firman,0,5
Fleming,0,5
Flora,0,5
Gardner,0,5
Gee,0,5
Gorge,0,5
Gottlieb,0,5
Gregorio,0,5
Gregory,0,5
Gustavus,0,5
Halsey,0,5
Handy,0,5
Hardie,0,5
Harl,0,5
Hayden,0,5
Hays,0,5
Hermon,0,5
Hershel,0,5
Holly,0,5
Hosteen,0,5
Hoyt,0,5
Hudson,0,5
Huey,0,5
Humphrey,0,5
Hunt,0,5
Hyrum,0,5
Irven,0,5
Isam,0,5
Ivy,0,5
Jabez,0,5
Jewel,0,5
Jodie,0,5
Judd,0,5
Julious,0,5
Justice,0,5
Katherine,0,5
Kelly,0,5
Kit,0,5
Knute,0,5
Lavern,0,5
Lawyer,0,5
Layton,0,5
Leonidas,0,5
Lewie,0,5
Lillie,0,5
Linwood,0,5
Loran,0,5
Lorin,0,5
Mace,0,5
Malcom,0,5
Manly,0,5
Manson,0,5
Matthias,0,5
Mattie,0,5
Merida,0,5
Miner,0,5
Montgomery,0,5
Moroni,0,5
Murdock,0,5
Myrtle,0,5
Nate,0,5
Nathanial,0,5
Nimrod,0,5
Nora,0,5
Norval,0,5
Nova,0,5
Orion,0,5
Orla,0,5
Orrie,0,5
Payton,0,5
Philo,0,5
Phineas,0,5
Presley,0,5
Ransom,0,5
Reece,0,5
Rene,0,5
Roswell,0,5
Rowland,0,5
Sampson,0,5
Samual,0,5
Santos,0,5
Schuyler,0,5
Sheppard,0,5
Spurgeon,0,5
Starling,0,5
Sylvanus,0,5
Theadore,0,5
Theophile,0,5
Tilmon,0,5
Tommy,0,5
Unknown,0,5
Vann,0,5
Wes,0,5
Winston,0,5
Wood,0,5
Woodie,0,5
Worthy,0,5
Wright,0,5
York,0,5
Zachariah,0,5
